Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0xabacacc4e63422738487b5ce84a8f0e85e2efcd4,1,0
0xff9f7f4e498eb01336581da941f7d81da71dd7dd,1,0
0xdcdee67f1381ce9d0db945b1b7f1267ce1ff0086,1,0
0x7380fe2045ade48f86ffdc70347103d8f3619b99,1,0
0x126c5aefa3793b0e20e03ce409b701dc32f3b185,1,0
0xfa4935d8cba38ee2ec730b8ffde0a6c61e17e78c,1,0
0x0c4d8f2dd1dd3ef7b091c68c048a5b63057873df,1,0
0x3a9e1f61d79fab56a5ce50c2221ce1a454f2c6b1,1,0
0x0e29e14321f538f6963ace11ca2989b096373c37,1,0
0x96bcf10a99db762c3f28c741ce6e7bb0a17aa267,1,0
0xe55fe3661ec34f878ded9634cd7cab51308971e4,1,0
0x8d765687bb31f9df4063fc03ea1170a740accfde,1,0
0x48a8a02daab1802aa36b06542675d87e1b28d729,1,0
0x4a041092dfee356887696766756881e8cb950b86,1,0
0x2886f15c5893ad912b5905356c40c81a4bc3cdd7,1,0
0x2292f83866dd39b029eb3bffc69411de579e6219,1,0
0x8ed5d41fe27e61a0edabb90d0164ff9df00b56ac,1,0
0x22f368609d01b82aba43418dc08b4cf6426872bc,1,0
0xae59158ce33e8b7582537dffcf096d5b557c662a,1,0
0xb435d7030dcd493382cbefa2aadcfdc37f95a00d,1,0
0xa2e704c0182fa514cda8c7da482cb9ff95d94a40,1,0
0x1feddc5cd9c60d37e62f9ceae4adf0d6660133a7,1,0
0x4a188f6fc7ece395bc1f0158363265f612eefee2,1,0
0x217414c61e66195ce5a8cc9a1a3ae025aec54eeb,1,0
0xedda58ae771066ac79cb66d44f4534fdb33d60c8,1,0
0x8634063672f3b17990fca6faa999447131cf921f,1,0
0x902bf4e186ddd387553dc8f1ff4189000709fd71,1,0
0xb2f49809c4a874679196aacd8b4614230e51e03b,1,0
0x99f100d98bc6299340a816ed4a588b2297361f74,1,0
0x9c7f195296233a42499a3ba55a4adeb784142dd5,1,0
0x551c5a57f6a8b325782cbc5b83f04c3935124523,1,0
0xbd1d248984d449773b53dbb03bb8e17baa4b7a89,1,0
0xb57b85e9916cbd59630b3ef5c63707e357e266c0,1,0
0x337e71ed5db693e6c0889dfb67ff3722e36542e6,1,0
0x363c4b8efb9c36322f53222da46cce4c2dbe644b,1,0
0x919e818717b6a551c1a191e1e41588a69e94fd8b,1,0
0x48223032b03037eb317c390ea0707d12a5cec55a,1,0
0xce0177c015591cdaacebc77630d9411fcd00e60f,1,0
0xd7f819d8e2cf81fcd8847501f05aa7904208f86e,1,0
0xfddb5dc8ba8468f607e03e0c1b834bc49c2ec060,1,0
0xa573162a7436806eaf679503ac8a7b508b40b6e2,1,0
0x40f578846ff6ae35a822e9244d8c50a281111500,1,0
0x011443caf7b3be4ea86b1b245ed3b25d6e604ddf,1,0
0xbf313c018885483cfba841a1c7f78ae4e0bac168,1,0
0x34b918b6f3402b04c184c158d2a32b59a2da3f88,1,0
0xa5fb0fbdaa8254d483520f832e5a8a29d25b269c,1,0
0xa01c28cebcea47f26877995af0dd8a445f4adad5,1,0
0xba9a8e18e996876e4836854167fc32c1331a8767,1,0
0x370d9710fd45344db09a1d86ac218fb7e9ef85c8,1,0
0x6c981d1745daa84ab0da707263c44811fab8a2da,1,0
0x51706d1402438b01207351da04fad36c0cb7baac,1,0
0xe00c936bb904cd4271348f1fbf5a0ae6909c6585,1,0
0x31d8cbe963bad07615cac2e7fe15d36847878a43,1,0
0xa75eca8230e924e3253f3f323ad25d1c45cf8e0d,1,0
0xa850ff5d58c5dcbe34c3aaae6b093b880bd5bc08,1,0
0xc64ad137d4cc5efbdcdd337feb420df32a510f74,1,0
0xb0647c2702fa4453f78b0f57a086d744e4afd7a0,1,0
0xe0d7b67065cd8aa12f7dc3214801757a57742da5,1,0
0xb58fa3369c016aaf4fd2620726cb81c7c50702c2,1,0
0x86751a1127b06bf6a4802e56fdd0f506d8b8ce75,1,0
0x05d9fb3a2237cf789375d648fef71dfaf5bd5442,1,0
0x4ee66d02d680160c070d66926437820c24e046ae,1,0
0xe04ba2c6cc7c37ff4a7c75714af999cd490fed56,1,0
0x519b245e0200e61ba9976d8921038739f4531773,1,0
0xce74908c1a65aee0e90be86f0d8f836a2141a1b6,1,0
0x532f12e3fc449051cf778e45f75e77360beb8327,1,0
0x891ebf20c37871477406d2060d5bd0b442a1da5c,1,0
0xb033e2645c5ed01d8376d0d53129f4a704a595f9,1,0
